lat_long,count
"""-0.180653,-78.467838""",1
"""-12.046374,-77.042793""",1
"""-15.794229,-47.882166""",1
"""-22.906847,-43.172896""",1
"""-23.55052,-46.633309""",6
"""-27.468918,153.003239""",2
"""-33.867487,151.20699""",3
"""-34.603684,-58.381559""",5
"""-36.84846,174.763332""",2
"""-41.28646,174.776236""",2
"""1.331355,103.869278""",1
"""1.352083,103.819836""",2
"""10.643873,-61.36477""",1
"""17.385044,78.486671""",1
"""19.075984,72.877656""",2
"""19.432608,-99.133208""",2
"""21.306944,-157.858333""",8
"""22.396428,114.109497""",1
"""25.29161,51.530437""",1
"""25.657345,-100.40175""",1
"""25.72149,-80.268384""",2
"""25.76168,-80.19179""",14
"""25.819542,-80.35533""",3
"""25.987869,-80.174769""",1
"""26.122439,-80.137317""",1
"""26.479379,-81.780183'",1
"""26.640628,-81.872308""",2
"""26.715342,-80.053375""",5
"""26.823395,-80.138655""",2
"""27.717245,85.323961""",2
"""27.749516,-82.583495""",1
"""27.751828,-82.626734'",7
"""27.800583,-97.396381""",3
"""28.083627,-80.608109""",1
"""28.393619,-81.538684""",1
"""28.535516,77.391026""",2
"""28.538336,-81.379236'",2
"""28.6,-81.339235'",4
"""28.613939,77.209021""",1
"""29.424122,-98.493628""",1
"""29.651634,-82.324826""",9
"""29.760427,-95.369803""",4
"""29.883275,-97.941394""",2
"""29.951066,-90.071532""",8
"""29.984092,-90.152852""",1
"""3.42551,-111.940005""",4
"""30.093274,-95.987734""",1
"""30.22409,-92.019843""",1
"""30.267153,-97.743061""",21
"""30.332184,-81.655651""",3
"""30.421309,-87.216915""",1
"""30.438256,-84.280733""",1
"""31.230416,121.473701""",1
"""31.777576,-106.442456""",3
"""32.0853,34.781768""",2
"""32.298757,-90.18481""",1
"""32.407359,-87.021101""",1
"""32.448788,-81.783167'",1
"""32.715738,-117.161084""",15
"""32.735687,-97.108066""",12
"""32.755488,-97.330766""",1
"""32.776475,-79.931051""",2
"""32.776664,-96.796988""",3
"""32.840695,-83.632402""",3
"""32.855038,-96.797592""",2
"""33.036987,-117.291982""",1
"""33.103174,-96.67055""",1
"""33.158093,-117.350594""",2
"""33.214841,-97.133068""",1
"""33.285669,-86.809989""",1
"""33.352826,-111.789027""",1
"""33.380672,-84.799657""",1
"""33.448377,-112.074037'",1
"""33.448377,-112.074037""",25
"""33.49417,-111.926052""",1
"""33.520661,-86.80249""",4
"""33.600023,-117.671995""",1
"""33.683947,-117.794694""",2
"""33.736062,-118.292246""",2
"""33.748995,-84.387982""",56
"""33.77005,-118.193739""",2
"""33.792239,-118.315072""",1
"""33.830296,-116.545292""",6
"""33.835293,-117.914504""",3
"""33.835849,-118.340629""",5
"""33.849182,-118.388408""",2
"""33.862237,-118.399519""",1
